@relation context

@attribute demonstrative {0,1}
@attribute position {-1,0,1,2}
@attribute bigram real
@attribute trigram real
@attribute refOther {0,1}
@attribute refTarget {0,1}
@attribute refMultiple {0,1}
@attribute context {0,1}

@data
1,2,106,111,0,0,0,0
0,-1,107,112,1,0,0,0
0,0,108,113,0,1,0,1
0,1,64,114,0,0,0,0
0,2,109,115,0,0,0,0
0,-1,110,116,0,0,0,0
0,0,111,117,1,1,1,1
1,1,112,118,0,0,0,0
1,2,113,119,0,0,0,0
0,-1,114,120,0,0,0,0
0,0,115,121,0,1,0,1
0,1,116,122,0,0,0,0
1,2,117,123,0,0,0,0
0,-1,118,124,0,0,0,0
1,0,119,125,1,1,1,1
1,1,120,126,0,0,0,0
0,2,121,127,1,0,0,0
0,-1,122,128,0,0,0,0
0,0,123,129,1,1,1,0
1,1,124,130,0,0,0,1
0,2,125,131,0,0,0,0
0,-1,39,39,0,0,0,0
0,0,126,132,0,1,0,1
1,1,127,133,0,0,0,0
0,2,128,134,0,0,0,0
0,-1,129,135,0,0,0,0
1,0,130,136,1,1,1,0
0,1,131,137,0,0,0,1
0,2,132,138,0,0,0,0
0,-1,133,139,0,0,0,0
0,0,134,140,1,1,1,1
0,1,135,141,0,0,0,0
1,2,136,142,0,0,0,0
0,-1,137,143,0,0,0,0
0,0,138,144,1,1,1,1
0,1,139,145,0,0,0,0
1,2,140,146,0,0,0,0
1,-1,141,147,0,0,0,0
0,0,142,148,0,1,0,1
0,1,143,149,0,0,0,0
0,2,144,150,0,0,0,0
0,-1,34,151,1,0,0,0
0,0,34,152,0,1,0,1
1,1,145,153,1,0,1,0
0,2,64,154,1,0,0,0
1,-1,146,155,0,0,0,0
0,0,147,156,0,1,0,1
1,1,148,157,0,0,0,0
0,2,149,158,0,0,0,0
1,-1,50,159,0,0,0,0
0,0,150,160,0,1,0,1
0,1,151,161,1,0,0,0
1,2,152,162,0,0,0,0
1,-1,153,163,0,0,0,0
1,0,154,164,1,1,1,1
0,1,155,165,0,0,0,0
1,2,156,166,0,0,0,0
1,-1,157,167,0,0,0,0
0,0,158,168,1,1,1,1
0,1,159,169,0,0,0,0
0,2,160,170,0,0,0,0
1,-1,70,171,1,0,1,0
0,0,161,172,0,0,0,1
0,1,41,173,1,0,0,0
0,2,162,174,0,0,0,0
1,-1,163,175,0,0,0,0
0,0,164,176,1,1,1,1
0,1,165,177,1,0,0,0
0,2,166,178,0,0,0,0
0,-1,167,179,0,0,0,0
0,0,168,180,0,1,0,1
1,1,169,181,1,0,0,0
0,2,170,182,0,0,0,0
0,-1,171,183,0,0,0,0
0,0,172,184,1,1,1,1
0,1,173,185,0,0,0,0
1,2,174,186,1,0,1,0
1,-1,175,187,0,0,0,0
1,0,176,188,1,1,1,1
1,1,91,189,1,0,0,0
1,2,177,190,1,0,1,0
0,-1,178,191,1,0,0,0
0,0,179,192,1,1,1,1
1,1,180,193,1,0,0,0
0,2,181,194,0,0,0,0
0,-1,32,32,0,0,0,0
0,0,33,33,0,1,0,1
0,1,182,195,0,0,0,0
0,2,183,196,0,0,0,0
1,-1,184,197,0,0,0,0
0,0,14,198,0,1,0,1
0,1,185,199,0,0,0,0
0,2,186,200,0,0,0,0
0,-1,187,201,0,0,0,0
1,0,188,202,0,1,0,1
0,1,189,203,0,0,0,0
0,2,190,204,1,0,0,0
0,-1,191,205,0,0,0,0
1,0,192,206,1,1,1,1
1,1,193,207,1,0,0,0
0,2,194,208,1,0,0,0
1,-1,195,209,1,0,0,0
0,0,196,210,0,0,0,1
1,1,197,211,0,0,0,0
1,2,34,212,0,0,0,0
1,-1,34,212,0,0,0,0
0,0,198,213,1,0,0,1
1,1,199,214,0,0,0,0
1,2,200,215,0,0,0,0
0,-1,201,216,0,0,0,0
0,0,202,217,1,1,1,1
0,1,203,218,0,0,0,0
1,2,204,219,0,0,0,0
1,-1,205,220,0,0,0,0
0,0,50,221,1,1,1,1
1,1,206,222,0,0,0,0
1,2,207,223,0,0,0,0
0,-1,208,224,0,0,0,0
1,0,104,225,0,1,0,1
0,1,209,226,0,0,0,0
0,2,210,227,0,0,0,0
0,-1,211,228,1,0,0,0
0,0,212,229,0,1,0,1
0,1,213,230,1,0,0,0
0,2,214,231,0,0,0,0
0,-1,215,232,0,0,0,0
0,0,216,233,1,0,0,0
0,1,217,234,0,0,0,1
0,2,218,235,0,0,0,0
1,-1,148,157,1,0,1,0
1,0,219,236,1,1,1,1
0,1,220,237,0,0,0,0
1,2,221,238,0,0,0,0
1,-1,222,239,0,0,0,0
0,0,223,240,0,1,0,1
0,1,224,241,1,0,0,0
0,2,225,242,0,0,0,0
0,-1,226,243,0,0,0,0
0,0,227,244,0,1,0,1
0,1,52,245,1,0,0,0
0,2,228,246,0,0,0,0
0,-1,24,24,0,0,0,0
1,0,104,247,1,1,1,1
0,1,229,248,0,0,0,0
1,2,230,249,0,0,0,0
0,-1,39,39,0,0,0,0
1,0,231,250,0,1,0,1
0,1,189,203,0,0,0,0
1,2,232,251,0,0,0,0
0,-1,233,252,0,0,0,0
0,0,234,253,0,1,0,1
1,1,235,254,0,0,0,0
0,2,236,255,0,0,0,0
1,-1,237,256,0,0,0,0
0,0,238,257,1,1,1,1
1,1,239,258,0,0,0,0
0,2,240,259,0,0,0,0
1,-1,80,82,0,0,0,0
0,0,81,83,1,1,1,1
0,1,82,84,0,0,0,0
1,2,83,85,0,0,0,0
1,-1,241,260,0,0,0,0
1,0,43,261,1,1,1,1
0,1,242,262,0,0,0,0
0,2,243,263,0,0,0,0
0,-1,34,264,1,0,0,0
0,0,244,265,0,1,0,1
0,1,245,266,1,0,0,0
0,2,246,267,0,0,0,0
0,-1,247,268,0,0,0,0
0,0,248,269,0,1,0,1
0,1,249,270,0,0,0,0
0,2,72,271,1,0,0,0
0,-1,164,272,0,0,0,0
0,0,250,273,1,1,1,1
1,1,251,274,0,0,0,0
0,2,252,275,0,0,0,0
0,-1,253,276,0,0,0,0
1,0,254,277,1,1,1,1
0,1,124,278,0,0,0,0
1,2,255,279,0,0,0,0
0,-1,256,280,0,0,0,0
1,0,257,281,0,1,0,1
1,1,258,282,0,0,0,0
0,2,259,283,1,0,0,0
0,-1,227,244,0,0,0,0
1,0,260,284,0,1,0,1
0,1,83,285,0,0,0,0
1,2,258,286,0,0,0,0
0,-1,261,287,0,0,0,0
0,0,262,288,1,1,1,1
1,1,263,289,0,0,0,0
0,2,264,290,0,0,0,0
0,-1,265,291,0,0,0,0
0,0,266,292,1,1,1,1
1,1,267,293,0,0,0,0
0,2,268,294,0,0,0,0
0,-1,269,295,0,0,0,0
0,0,270,296,1,1,1,1
1,1,271,297,0,0,0,0
1,2,272,298,0,0,0,0
0,-1,273,299,0,0,0,0
0,0,274,300,1,1,1,1
0,1,275,301,0,0,0,0
0,2,276,302,0,0,0,0
1,-1,277,303,1,0,1,0
0,0,278,304,1,1,1,1
0,1,279,305,1,0,1,0
0,2,280,306,1,0,0,0
0,-1,281,307,0,0,0,0
1,0,89,308,1,1,1,1
0,1,282,309,1,0,0,0
0,2,283,310,0,0,0,0
0,-1,34,311,0,0,0,0
0,0,284,312,0,1,0,1
0,1,49,49,0,0,0,0
0,2,50,50,0,0,0,0
0,-1,285,313,0,0,0,0
0,0,286,314,1,1,1,1
1,1,287,315,0,0,0,0
0,2,288,316,0,0,0,0
1,-1,20,20,0,0,0,0
1,0,21,21,0,1,0,1
0,1,22,22,0,0,0,0
1,2,23,23,0,0,0,0
0,-1,24,24,0,0,0,0
0,0,25,25,0,1,0,1
1,1,289,317,1,0,1,0
0,2,290,318,0,0,0,0
0,-1,291,319,0,0,0,0
0,0,292,320,0,1,0,1
0,1,293,321,0,0,0,0
0,2,294,322,0,0,0,0
0,-1,295,323,1,0,0,0
0,0,41,324,1,1,1,1
0,1,89,325,0,0,0,0
0,2,296,326,0,0,0,0
1,-1,297,327,0,0,0,0
1,0,298,328,1,1,1,1
0,1,68,329,0,0,0,0
1,2,299,330,0,0,0,0
0,-1,300,331,0,0,0,0
0,0,301,332,1,1,1,1
0,1,302,333,0,0,0,0
1,2,303,334,0,0,0,0
0,-1,304,335,0,0,0,0
1,0,305,336,0,1,0,1
0,1,306,337,0,0,0,0
0,2,307,338,0,0,0,0
0,-1,308,339,0,0,0,0
0,0,309,340,0,1,0,1
0,1,310,341,0,0,0,0
0,2,311,342,0,0,0,0
1,-1,312,343,0,0,0,0
0,0,313,344,0,1,0,1
1,1,89,345,0,0,0,0
0,2,314,346,0,0,0,0
1,-1,315,347,0,0,0,0
1,0,316,348,1,1,1,0
1,1,317,349,0,0,0,0
0,2,318,350,0,0,0,1
1,-1,70,171,1,0,1,0
0,0,161,172,0,0,0,1
0,1,41,173,1,0,0,0
0,2,162,174,0,0,0,0
0,-1,319,351,0,0,0,0
0,0,320,352,1,1,1,1
0,1,321,353,0,0,0,0
1,2,322,354,0,0,0,0
1,-1,323,355,0,0,0,0
1,0,324,356,1,1,1,1
0,1,325,357,0,0,0,0
0,2,34,358,0,0,0,0
1,-1,50,359,0,0,0,0
0,0,326,360,0,1,0,1
0,1,327,361,0,0,0,0
1,2,328,362,0,0,0,0
0,-1,329,363,1,0,0,0
0,0,330,364,0,1,0,1
1,1,331,365,0,0,0,0
1,2,332,366,0,0,0,0
0,-1,333,367,0,0,0,0
0,0,334,368,1,0,1,1
1,1,335,369,1,0,0,0
0,2,34,152,0,0,0,0
0,-1,336,370,1,0,1,0
0,0,258,282,1,1,1,1
0,1,148,157,0,0,0,0
0,2,337,371,1,0,0,0
0,-1,103,108,0,0,0,1
1,0,104,109,0,1,0,0
0,1,105,110,1,0,0,0
1,2,106,111,0,0,0,0
0,-1,107,112,1,0,0,0
0,0,108,113,0,1,0,1
0,1,64,114,0,0,0,0
0,2,109,115,0,0,0,0
0,-1,39,39,0,0,0,0
0,0,24,372,0,1,0,1
0,1,338,373,0,0,0,0
0,2,339,374,0,0,0,0
0,-1,340,375,0,0,0,0
1,0,341,376,1,0,1,1
1,1,342,377,0,0,0,0
1,2,343,378,0,0,0,0
0,-1,24,379,0,0,0,0
0,0,337,380,1,1,1,1
0,1,344,381,1,0,1,0
1,2,345,382,0,0,0,0
0,-1,346,383,0,0,0,0
0,0,347,384,0,1,0,1
0,1,348,385,0,0,0,0
1,2,349,386,0,0,0,0
0,-1,350,387,0,0,0,0
0,0,351,388,1,1,1,0
1,1,261,389,0,0,0,1
1,2,352,390,0,0,0,0
0,-1,353,391,0,0,0,0
0,0,354,392,1,1,1,1
0,1,355,393,0,0,0,0
1,2,356,394,0,0,0,0
0,-1,357,395,0,0,0,0
0,0,358,396,0,1,0,1
0,1,359,397,0,0,0,0
1,2,119,125,0,0,0,0
0,-1,360,398,0,0,0,0
0,0,361,399,0,1,0,1
1,1,362,400,0,0,0,0
0,2,39,39,0,0,0,0
0,-1,363,401,0,0,0,0
1,0,364,402,0,1,0,1
0,1,365,403,0,0,0,0
0,2,34,404,0,0,0,0
1,-1,366,405,1,0,1,0
0,0,367,406,1,1,1,1
1,1,368,407,1,0,0,0
0,2,369,39,0,0,0,0
0,-1,370,408,0,0,0,0
1,0,371,409,0,1,0,1
0,1,372,410,0,0,0,0
1,2,371,411,0,0,0,0
0,-1,39,39,0,0,0,0
0,0,373,412,1,0,0,1
0,1,374,413,0,0,0,0
0,2,375,414,0,0,0,0
0,-1,376,415,0,0,0,0
0,0,377,416,0,1,0,1
0,1,378,417,0,0,0,0
0,2,379,418,0,0,0,0
0,-1,380,419,1,0,0,0
0,0,381,420,1,1,1,1
0,1,382,421,0,0,0,0
0,2,383,422,0,0,0,0
0,-1,384,423,1,0,1,0
0,0,385,424,1,1,1,1
1,1,386,425,0,0,0,0
1,2,387,426,0,0,0,0
1,-1,257,281,0,0,0,0
0,0,388,427,0,1,0,1
1,1,389,428,0,0,0,0
1,2,84,429,0,0,0,0
0,-1,286,430,1,0,1,0
0,0,226,431,1,1,1,1
0,1,390,432,0,0,0,0
1,2,391,433,0,0,0,0
1,-1,34,434,0,0,0,0
0,0,392,435,0,1,0,1
1,1,393,436,0,0,0,0
1,2,394,437,0,0,0,0
0,-1,395,438,0,0,0,0
1,0,396,439,0,1,0,1
1,1,397,440,0,0,0,0
1,2,398,441,1,0,0,0
0,-1,399,442,0,0,0,0
1,0,400,443,1,1,1,1
0,1,254,444,0,0,0,0
1,2,104,445,0,0,0,0
0,-1,254,444,0,0,0,0
1,0,104,445,0,0,0,1
1,1,401,446,0,0,0,0
0,2,402,447,1,0,0,0
0,-1,39,39,0,0,0,0
0,0,403,448,1,1,1,1
0,1,404,449,1,0,1,0
0,2,41,450,1,0,1,0
0,-1,405,451,0,0,0,0
0,0,406,452,1,1,1,1
0,1,407,453,1,0,0,0
1,2,34,454,0,0,0,0
0,-1,408,455,0,0,0,0
0,0,409,456,1,1,1,1
1,1,410,457,0,0,0,0
1,2,411,458,0,0,0,0
0,-1,412,459,0,0,0,0
0,0,413,460,1,1,1,1
0,1,414,461,0,0,0,0
1,2,204,462,0,0,0,0
0,-1,415,463,1,0,1,0
1,0,416,464,0,1,0,1
0,1,213,230,0,0,0,0
1,2,417,465,1,0,0,0
1,-1,279,466,1,0,0,0
0,0,418,467,1,1,1,1
1,1,419,468,1,0,0,0
1,2,106,469,1,0,1,0
0,-1,420,470,0,0,0,0
0,0,421,471,0,1,0,1
1,1,422,472,0,0,0,0
0,2,423,473,1,0,0,0
1,-1,424,474,0,0,0,0
1,0,425,475,1,1,1,1
1,1,426,476,0,1,0,0
0,2,427,477,0,0,0,0
1,-1,425,475,1,1,1,0
1,0,426,476,0,1,0,1
0,1,427,477,0,0,0,0
0,2,428,478,0,0,0,0
0,-1,429,479,1,0,1,0
0,0,430,480,1,1,1,1
0,1,431,481,0,0,0,0
0,2,432,482,0,0,0,0
1,-1,433,483,0,0,0,0
1,0,434,484,0,0,0,1
1,1,435,485,0,0,0,0
1,2,436,486,0,0,0,0
0,-1,437,487,0,0,0,0
0,0,438,488,1,1,1,1
0,1,296,489,0,0,0,0
0,2,439,490,0,0,0,0
1,-1,106,491,0,0,0,0
0,0,440,492,0,1,0,1
0,1,441,39,0,0,0,0
0,2,34,493,0,0,0,0
1,-1,442,494,0,0,0,0
0,0,443,495,0,1,0,1
1,1,371,496,0,0,0,0
0,2,444,497,0,0,0,0
0,-1,445,498,0,0,0,0
1,0,341,376,1,1,1,1
0,1,446,499,0,0,0,0
1,2,447,500,0,0,0,0
1,-1,448,501,1,0,0,0
1,0,449,502,0,1,0,1
1,1,450,503,1,0,1,0
1,2,451,504,0,0,0,0
0,-1,271,505,0,0,0,0
0,0,452,506,1,1,1,1
1,1,337,507,0,0,0,0
0,2,453,508,0,0,0,0
0,-1,454,509,0,0,0,0
0,0,455,510,1,1,1,1
1,1,456,511,1,0,0,0
0,2,457,512,0,0,0,0
0,-1,458,513,0,0,0,0
1,0,459,514,0,1,0,1
1,1,460,515,1,0,0,0
0,2,461,516,0,0,0,0
1,-1,269,295,0,0,0,0
0,0,270,296,1,1,1,0
1,1,271,297,0,0,0,1
0,2,61,517,0,0,0,0
1,-1,462,518,0,0,0,0
1,0,463,519,0,1,0,1
1,1,104,520,1,0,0,0
0,2,464,521,0,0,0,0
0,-1,465,522,0,0,0,0
1,0,466,523,0,0,0,1
1,1,258,524,0,0,0,0
0,2,467,525,0,0,0,0
0,-1,52,245,0,0,0,0
1,0,24,24,1,1,1,1
0,1,24,24,0,0,0,0
0,2,468,526,0,0,0,0
1,-1,128,527,0,0,0,0
0,0,469,528,1,1,1,1
1,1,470,529,1,0,1,0
1,2,471,530,1,0,1,0
1,-1,472,531,0,0,0,0
0,0,226,532,1,1,1,1
0,1,473,533,0,0,0,0
0,2,474,534,0,0,0,0
0,-1,475,535,0,0,0,0
0,0,409,456,1,1,1,1
1,1,410,457,0,0,0,0
1,2,411,458,0,0,0,0
0,-1,34,536,0,0,0,0
1,0,41,537,1,1,1,1
1,1,99,538,0,0,0,0
0,2,89,539,0,0,0,0
1,-1,50,540,0,0,0,0
0,0,476,541,1,1,1,1
0,1,477,542,0,0,0,0
1,2,478,543,0,0,0,0
0,-1,479,544,0,0,0,0
1,0,480,545,1,1,1,1
1,1,103,546,0,0,0,0
0,2,481,547,0,0,0,0
0,-1,482,548,0,0,0,0
1,0,89,308,0,1,0,1
0,1,282,309,1,0,0,0
0,2,483,549,0,0,0,0
0,-1,484,550,0,0,0,1
1,0,316,551,1,0,0,0
0,1,76,552,0,0,0,0
0,2,17,553,0,0,0,0
0,-1,485,39,0,0,0,0
0,0,486,554,0,1,0,1
1,1,169,181,1,0,0,0
1,2,487,555,0,0,0,0
0,-1,488,556,0,0,0,0
0,0,489,557,1,1,1,1
0,1,490,558,0,0,0,0
0,2,491,559,0,0,0,0
0,-1,492,560,1,0,0,0
0,0,493,561,0,1,0,1
1,1,494,562,0,0,0,0
0,2,495,563,0,0,0,0
1,-1,496,564,1,0,0,0
1,0,497,565,0,1,0,1
1,1,498,566,1,0,0,0
1,2,34,567,0,0,0,0
0,-1,499,568,0,0,0,0
0,0,500,569,0,0,0,1
0,1,501,570,1,0,0,0
0,2,502,571,1,0,0,0
0,-1,503,572,1,0,0,0
1,0,504,573,0,0,0,1
0,1,505,574,0,0,0,0
1,2,82,575,0,0,0,0
1,-1,77,576,0,0,0,0
0,0,506,577,1,1,1,1
1,1,507,578,0,0,0,0
0,2,508,579,0,0,0,0
0,-1,509,580,0,0,0,0
0,0,64,581,1,1,1,1
0,1,510,582,0,0,0,0
1,2,511,583,0,0,0,0
1,-1,77,584,0,0,0,0
0,0,512,585,1,1,1,1
0,1,513,586,0,0,0,0
0,2,514,587,0,0,0,0
0,-1,515,588,0,0,0,0
0,0,516,589,1,1,1,1
0,1,517,39,0,0,0,0
0,2,518,590,1,0,1,0
0,-1,519,591,0,0,0,0
0,0,50,592,0,1,0,0
1,1,371,409,0,0,0,1
1,2,520,593,0,0,0,0
0,-1,521,594,0,0,0,0
0,0,522,595,1,1,1,1
0,1,523,596,0,0,0,0
1,2,524,597,0,0,0,0
1,-1,257,281,0,0,0,0
0,0,388,427,0,1,0,1
0,1,389,428,0,0,0,0
1,2,84,429,0,0,0,0
0,-1,273,299,0,0,0,0
0,0,274,300,1,1,1,1
0,1,275,301,0,0,0,0
0,2,276,302,0,0,0,0
0,-1,360,398,0,0,0,0
1,0,361,399,0,1,0,1
1,1,362,400,0,0,0,0
0,2,525,598,0,0,0,0
1,-1,526,599,0,0,0,0
1,0,43,261,1,1,1,1
0,1,242,262,0,0,0,0
0,2,243,263,0,0,0,0
0,-1,459,600,0,0,0,0
0,0,527,601,0,1,0,1
0,1,528,602,0,0,0,0
0,2,528,602,0,0,0,0
0,-1,459,603,1,0,0,0
0,0,529,604,1,1,1,1
1,1,530,605,1,0,0,0
1,2,531,606,0,0,0,0
0,-1,532,607,0,0,0,0
0,0,533,608,1,1,1,1
0,1,534,609,0,0,0,0
0,2,225,610,0,0,0,0
0,-1,82,611,0,0,0,1
0,0,535,612,1,1,1,0
0,1,536,613,1,0,1,0
0,2,537,614,0,0,0,0
0,-1,538,615,0,0,0,0
0,0,413,616,0,1,0,1
0,1,539,617,0,0,0,1
0,2,540,618,0,0,0,0
0,-1,541,619,1,0,1,0
0,0,542,620,1,1,1,1
1,1,20,621,0,0,0,0
0,2,543,622,0,0,0,0
1,-1,156,166,0,0,0,0
0,0,544,623,1,1,1,1
0,1,545,624,0,0,0,0
1,2,17,625,0,0,0,0
0,-1,546,626,0,0,0,0
0,0,547,627,1,1,1,1
1,1,548,628,0,0,0,0
1,2,549,629,0,0,0,0
1,-1,504,573,0,0,0,1
0,0,550,630,0,1,0,1
0,1,551,631,0,0,0,0
0,2,50,632,0,0,0,0
0,-1,110,633,0,0,0,0
1,0,552,634,1,1,1,1
1,1,553,635,0,0,0,0
0,2,554,636,0,0,0,0
0,-1,555,637,1,0,0,0
1,0,77,576,1,1,1,1
0,1,39,39,0,0,0,0
0,2,521,638,0,0,0,0
1,-1,556,639,0,0,0,0
1,0,557,640,1,1,1,0
0,1,558,641,0,0,0,0
0,2,559,642,0,0,0,1
1,-1,560,643,1,0,1,0
0,0,561,644,1,0,1,1
0,1,562,645,0,0,0,0
1,2,563,646,0,0,0,0
1,-1,416,647,0,0,0,0
1,0,564,648,1,1,1,0
1,1,565,649,0,0,0,1
1,2,300,650,0,0,0,0
1,-1,287,651,0,0,0,0
0,0,566,652,1,1,1,1
0,1,379,653,0,0,0,0
1,2,104,654,1,0,0,0
1,-1,549,655,0,0,0,0
1,0,567,656,0,0,0,1
1,1,568,657,0,0,0,0
0,2,55,658,0,0,0,0
0,-1,569,659,1,0,0,0
1,0,570,660,1,1,1,1
0,1,571,661,0,0,0,0
1,2,572,662,0,0,0,0
0,-1,272,663,0,0,0,0
0,0,573,664,1,1,1,1
0,1,574,665,0,0,0,0
0,2,575,666,0,0,0,0
1,-1,576,667,0,0,0,0
0,0,577,668,1,1,1,0
1,1,104,669,0,0,0,1
1,2,578,670,1,0,0,0
1,-1,579,671,0,0,0,0
0,0,580,672,0,1,0,1
0,1,581,673,0,0,0,0
0,2,582,674,0,0,0,0
1,-1,84,675,0,0,0,0
0,0,583,676,1,1,1,0
0,1,584,677,1,1,1,0
1,2,317,678,1,0,1,1
0,-1,583,676,1,1,1,0
0,0,584,677,1,1,1,0
1,1,317,678,1,0,1,0
1,2,585,679,0,0,0,1
0,-1,208,680,0,0,0,0
0,0,208,681,1,1,1,1
0,1,586,682,0,0,0,0
1,2,34,34,0,0,0,0
0,-1,587,683,0,0,0,0
0,0,588,684,1,1,1,0
0,1,589,685,0,0,0,0
0,2,590,686,0,0,0,0
1,-1,591,687,1,0,0,0
0,0,592,688,0,0,0,1
0,1,593,689,0,0,0,0
0,2,594,690,0,0,0,0
0,-1,595,691,0,0,0,0
0,0,596,692,0,0,0,1
1,1,597,693,1,0,1,0
1,2,598,694,0,0,0,0
1,-1,599,695,1,0,1,0
0,0,600,696,1,1,1,0
1,1,504,697,0,0,0,0
1,2,601,698,0,0,0,1
0,-1,602,699,0,0,0,0
1,0,603,700,0,1,0,0
0,1,604,701,1,0,0,0
0,2,605,702,0,0,0,1
0,-1,606,703,1,0,0,0
1,0,607,704,0,1,0,1
0,1,608,705,0,0,0,0
0,2,609,706,0,0,0,0
1,-1,610,707,1,0,1,0
0,0,577,708,1,1,1,1
1,1,611,709,0,0,0,0
0,2,612,710,0,0,0,0
0,-1,110,633,0,0,0,0
1,0,552,634,1,1,1,1
1,1,553,635,0,0,0,0
0,2,554,636,0,0,0,0
1,-1,64,711,0,0,0,0
1,0,613,712,1,1,1,0
1,1,614,713,0,0,0,0
0,2,615,714,1,0,0,0
0,-1,616,715,0,0,0,0
0,0,617,716,1,1,1,0
0,1,618,717,0,0,0,0
1,2,619,718,0,0,0,0
0,-1,620,719,0,0,0,0
1,0,621,720,0,1,0,0
1,1,622,721,0,0,0,0
0,2,623,722,0,0,0,0
0,-1,76,723,0,0,0,0
1,0,89,724,0,1,0,0
0,1,624,725,0,0,0,0
0,2,625,726,0,0,0,0
1,-1,626,727,1,0,1,0
1,0,113,728,1,1,1,0
0,1,617,729,0,0,0,0
1,2,627,730,1,0,0,0
1,-1,628,731,0,0,0,0
0,0,629,732,0,1,0,0
0,1,630,733,0,0,0,0
0,2,530,605,1,0,1,0
0,-1,631,734,0,0,0,0
0,0,52,735,0,0,0,0
0,1,632,736,0,0,0,0
0,2,633,737,0,0,0,0
1,-1,634,738,0,0,0,0
0,0,635,739,1,1,1,0
1,1,261,389,0,0,0,0
0,2,97,740,0,0,0,0
0,-1,636,741,0,0,0,0
0,0,637,742,1,1,1,0
0,1,638,743,1,0,1,0
0,2,639,744,1,0,1,0
1,-1,640,745,0,0,0,0
0,0,569,746,1,1,1,0
1,1,83,747,0,0,0,0
0,2,641,748,0,0,0,0
