08-2001_0	A preparatory study on the capitalization of Portuguese BN has been performed by ( )	DT JJ NN IN DT NN IN NP NP VHZ VBN VVN IN ( )	BackGround	GRelated	Neutral
08-2007_0	For some restricted combinatorial spaces of alignments—those that arise in ITG-based phrase models ( ) or local distortion models ( )—inference can be accomplished using polynomial time dynamic programs	IN DT JJ JJ NNS IN NN WDT VVP IN JJ NN NNS ( ) CC JJ NN NNS ( NN MD VB VVN VVG JJ NN JJ NNS	BackGround	GRelated	Neutral
08-2007_1	However, for more permissive models such as Marcu and Wong ( ) and DeNero et al.( ), which operate over the full space of bijective phrase alignments (see below), no polynomial time algorithms for exact inference have been exhibited	RB , IN JJR JJ NNS JJ IN NP CC NP ( ) CC NP NP NP ( ) , WDT VVP IN DT JJ NN IN JJ NN NNS NN NN , DT JJ NN NNS IN JJ NN VHP VBN VVN	BackGround	GRelated	Negative
08-2007_1	Then, we can formally define the set of bijective phrase alignments: A = |J   dj = e ;   |J   f ki = f > Both the conditional model of DeNero et al.( ) and the joint model of Marcu and Wong ( ) operate in A, as does the phrase-based decoding framework of Koehn et al.( )	RB , PP MD RB VV DT NN IN JJ NN NP NP SYM NP NP SYM SYM : NN SYM NP SYM SYM SYM CC DT JJ NN IN NP NP NP ( ) CC DT JJ NN IN NP CC NP ( ) VV IN DT , RB VVZ DT JJ VVG NN IN NP NP NP ( )	BackGround	SRelated	Neutral
08-2007_1	DeNero et al.( ) instead proposes an exponential-time dynamic program to systematically explore A, which can in principle solve either O or ?NP NP NP ( ) RB VVZ DT JJ JJ NN TO RB VV DT , WDT MD IN NN VV DT NN CC $		BackGround	SRelated	Neutral
08-2007_3	Using an off-the-shelf ILP solver, 4 we were able to quickly and reliably find the globally optimal phrase alignment under  <fi(eij, fki) derived from the Moses pipeline ( )	VVG DT NN NN NN , LS PP VBD JJ TO RB CC RB VV DT RB JJ NN NN IN NP , NN VVN IN DT NN NN ( )	Fundamental	Basis	Neutral
08-2007_4	Forced decoding arises in online discriminative training, where model updates are made toward the most likely derivation of a gold translation ( )	JJ VVG VVZ IN JJ JJ NN , WRB NN NNS VBP VVN IN DT RBS JJ NN IN DT JJ NN ( )	BackGround	SRelated	Neutral
08-2007_5	The existence of a polynomial time algorithm for ?implies a polynomial time algorithm for S, because A = 3  Complexity of Inference in  A For the space A of bijective alignments, problems ?and O have long been suspected of being NP-hard, first asserted but not proven in Marcu and Wong ( )	DT NN IN DT JJ NN NN IN $ VVZ DT JJ NN NN IN NP , IN NP SYM CD NN IN NN IN DT IN DT NN DT IN JJ NNS , NNS $ CC NP VHP RB VBN VVN IN VBG NP , RB VVD CC RB VVN IN NP CC NP ( )	BackGround	SRelated	Neutral
08-2007_5	Marcu and Wong ( ) describes an approximation to O	NP CC NP ( ) VVZ DT NN TO NP	BackGround	SRelated	Neutral
08-2007_6	CPM is #P-complete ( ), so S (and hence ? is #P-hard	NP VBZ JJ ( ) , RB NP NN RB JJ VBZ JJ	BackGround	SRelated	Neutral
08-2008_0	We selected a subset of the verbs annotated in the OntoNotes project ( ) that had at least 50 instances	PP VVD DT NN IN DT NNS VVN IN DT NP NN ( ) WDT VHD IN JJS CD NNS	Fundamental	Basis	Neutral
08-2008_1	The approaches to obtaining this kind of knowledge can be based on extracting it from ele c-tronic dictionaries such as WordNet ( ), using Named Entity (NE) tags, or a combi-nation of both ( )	DT VVZ TO VVG DT NN IN NN MD VB VVN IN VVG PP IN NP NP NNS JJ IN NP ( ) , VVG NP NP NN NNS , CC DT NN IN DT ( )	BackGround	GRelated	Neutral
08-2008_3	An automatic VSD system usually has at its disposal a diverse set of features among which the semantic features play an important role: verb sense distinctions often depend on the distinctions in the semantics of the target verb's arguments ( )	DT JJ NN NN RB VHZ IN PP$ NN DT JJ NN IN NNS IN WDT DT JJ NNS VVP DT JJ NN NN NN NNS RB VVP IN DT NNS IN DT NNS IN DT NN NN NNS ( )	BackGround	GRelated	Positive
08-2008_4	Hindle ( ) grouped nouns into thesaurus-like lists based on the similarity of their syntactic contexts	NP ( ) VVN NNS IN JJ NNS VVN IN DT NN IN PP$ JJ NNS	BackGround	GRelated	Neutral
08-2008_5	To collect this data, we utilized two resources: (1) MaltParser ( ) - a high-efficiency dependency parser; (2) English Gigaword - a large corpus of 5.7M news articles	TO VV DT NNS , PP VVD CD NN NN NP ( ) : DT NN NN NN NN NP NP : DT JJ NN IN JJ NN NNS	Fundamental	Basis	Positive
08-2008_6	Other researches attacked the problem of unsupervised extraction of world knowledge: Schubert ( ) reports a method for extracting general facts about the world from tree-banked Brown corpus	JJ VVZ VVN DT NN IN JJ NN IN NN NN NP ( ) VVZ DT NN IN VVG JJ NNS IN DT NN IN JJ NP NN	BackGround	GRelated	Neutral
08-2008_7	Schutze ( ) used bag-of-words contexts for sense discrimination	NP ( ) VVN NNS NNS IN NN NN	BackGround	GRelated	Neutral
08-2009_0	Another approach to fine-grained tagging captures grammatical structures with tree-based tags, such as "supertags" in the tree-adjoining grammar of Bangalore and Joshi ( )	DT NN TO JJ VVG NNS JJ NNS IN JJ NNS , JJ IN NN IN DT JJ NN IN NP CC NP ( )	BackGround	GRelated	Neutral
08-2009_1	Like previous Icelandic work ( ), morphological analyzers disambiguate words before statistical tagging in Arabic ( ) and Czech ( )	IN JJ JJ NN ( ) , JJ NNS VVP NNS IN JJ VVG IN NP ( ) CC JJ ( )	BackGround	GRelated	Neutral
08-2009_2	Given these challenges, the most successful tagger is IceTagger ( ), a linguistic rule based system with several linguistic resources: a morphological analyzer, a series of local rules and heuristics for handling PPs, verbs, and forcing agreement	VVN DT NNS , DT RBS JJ NN VBZ NN ( ) , DT JJ NN VVN NN IN JJ JJ NN DT JJ NN , DT NN IN JJ NNS CC NNS IN VVG NNS , NNS , CC VVG NN	BackGround	GRelated	Positive
08-2010_0	Our BoostedMERT should not be confused with other boosting algorithms such as ( )	PP$ NP MD RB VB VVN IN JJ VVG NNS JJ IN ( )	BackGround	GRelated	Neutral
08-2010_2	We used a standard phrase-based statistical MT system ( ) to generated N-best lists ( ) on  Developments,  Developments, and  Evaluation sub-sets	PP VVD DT JJ JJ JJ NP NN ( ) TO VVN JJ NNS ( ) IN NPS , NPS , CC NN NNS	Fundamental	Basis	Neutral
08-2011_0	These two models can be combined with the entity grid described by Lapata and Barzilay ( ) for significant improvement	DT CD NNS MD VB VVN IN DT NN NN VVN IN NP CC NP ( ) IN JJ NN	BackGround	GRelated	Positive
08-2011_0	These models typically view a sentence either as a bag of words ( ) or as a bag of entities associated with various syntactic roles ( )	DT NNS RB VVP DT NN CC IN DT NN IN NNS ( ) CC IN DT NN IN NNS VVN IN JJ JJ NNS ( )	BackGround	GRelated	Neutral
08-2011_0	Since the correct labeling depends on the coref-erence relationships between the NPs, we need some way to guess at this; we take all NPs with the same head to be coreferent, as in the non-coreference version of ( ) 2	IN DT JJ VVG VVZ IN DT NN NNS IN DT NP , PP VVP DT NN TO VV IN NN PP VVP DT NP IN DT JJ NN TO VB JJ , RB IN DT NN NN IN ( ) LS	Fundamental	Idea	Neutral
08-2011_0	As a baseline, we adopt the entity grid ( )	IN DT NN , PP VVP DT NN NN ( )	Fundamental	Basis	Neutral
08-2011_0	In the discrimination task ( ), a document is compared with a random permutation of its sentences, and we score the system correct ifitindicates the original as more coherent 4	IN DT NN NN ( ) , DT NN VBZ VVN IN DT JJ NN IN PP$ NNS , CC PP VVP DT NN JJ NNS DT NN RB RBR JJ CD	BackGround	SRelated	Neutral
08-2011_0	As mentioned, Barzilay and Lapata ( ) uses a coreference system to attempt to improve the entity grid, but with mixed results	IN VVN , NP CC NP ( ) VVZ DT NN NN TO VV TO VV DT NN NN , CC IN JJ NNS	BackGround	SRelated	Neutral
08-2011_1	Previous work has focused on the AIRPLANE corpus ( ), which contains short announcements of airplane crashes written by and for domain experts	JJ NN VHZ VVN IN DT NP NN ( ) , WDT VVZ JJ NNS IN NN NNS VVN IN CC IN NN NNS	BackGround	SRelated	Neutral
08-2011_2	Models of coherence have been used to impose an order on sentences for multidocument summarization ( ), to evaluate the quality of human-authored essays ( ), and to insert new information into existing documents ( )	NNS IN NN VHP VBN VVN TO VV DT NN IN NNS IN NN NN ( ) , TO VV DT NN IN JJ NNS ( ) , CC TO VV JJ NN IN JJ NNS ( )	BackGround	GRelated	Neutral
08-2011_4	Therefore we also test our systems on the task of insertion ( ), in which we remove a sentence from a document, then find the point of insertion which yields the highest coherence score	RB PP RB VVP PP$ NNS IN DT NN IN NN ( ) , IN WDT PP VV DT NN IN DT NN , RB VV DT NN IN NN WDT VVZ DT JJS NN NN	Fundamental	Basis	Neutral
08-2011_5	We construct a maximum-entropy classifier using syntactic and lexical features derived from Uryupina ( ), and a publicly available learning tool ( )	PP VV DT NN NN VVG JJ CC JJ NNS VVN IN NP ( ) , CC DT RB JJ VVG NN ( )	Fundamental	Basis	Neutral
08-2011_7	These patterns have been studied extensively, by linguists ( ) and in the field of coreference resolution	DT NNS VHP VBN VVN RB , IN NNS ( ) CC IN DT NN IN NN NN	BackGround	GRelated	Neutral
08-2011_7	Features such as full names, appositives, and restrictive relative clauses are associated with the introduction of unfamiliar entities into discourse ( )	NNS JJ IN JJ NNS , NNS , CC JJ JJ NNS VBP VVN IN DT NN IN JJ NNS IN NN ( )	BackGround	GRelated	Neutral
08-2011_7	Another issue is that NPs whose referents are familiar tend to resemble discourse-old NPs, even though they have not been previously mentioned ( )	DT NN VBZ IN/that NP WP$ NNS VBP JJ VVP TO VV JJ NP , RB IN PP VHP RB VBN RB VVN ( )	BackGround	SRelated	Neutral
08-2011_8	We use a model which probabilistically attempts to describe these preferences ( )	PP VVP DT NN WDT RB VVZ TO VV DT NNS ( )	Fundamental	Basis	Neutral
08-2011_8	(This takes more work than simply resolving the pronouns conditioned on the text.) The model of Ge et al.( ) provides the requisite probabilities: P (a i ,T i \d~ 1) =P (a i \h(a i ),m(a ,i)) Here h(a) is the Hobbs distance ( ), which measures distance between a pronoun and prospective antecedent, taking into account various factors, such as syntactic constraints on pronouns	NN VVZ JJR NN IN RB VVG DT NNS VVN IN DT NN DT NN IN NP NP NP ( ) VVZ DT JJ NN NN NP NP NP NP JJ JJ NN NN NP NP NP ) NN NN RB JJ VBZ DT NP NN ( ) , WDT VVZ NN IN DT NN CC JJ NN , VVG IN NN JJ NNS , JJ IN JJ NNS IN NNS	BackGround	SRelated	Neutral
08-2011_8	The model is trained using a small hand-annotated corpus first used in Ge et al.( )	DT NN VBZ VVN VVG DT JJ JJ NN RB VVN IN NP NP NP ( )	Fundamental	Basis	Neutral
08-2011_9	Centering theory ( ) describes additional constraints about which entities in a discourse can be pronominalized: if there are pronouns in a segment, they must include the backward-looking center	VVG NN ( ) VVZ JJ NNS IN WDT NNS IN DT NN MD VB JJ IN EX VBP NNS IN DT NN , PP MD VV DT JJ NN	BackGround	SRelated	Neutral
08-2011_10	As noted by studies since Hawkins ( ), there are marked syntactic differences between the two classes	IN VVN IN NNS IN NP ( ) , EX VBP JJ JJ NNS IN DT CD NNS	BackGround	SRelated	Neutral
08-2011_13	We evaluate our models using two tasks, both based on the assumption that a human-authored document is coherent, and uses the best possible ordering of its sentences (see Lapata ( ))	PP VVP PP$ NNS VVG CD NNS , CC VVN IN DT NN IN/that DT JJ NN VBZ JJ , CC VVZ DT RBS JJ VVG IN PP$ NNS NN NP ( NN	Fundamental	Basis	Neutral
08-2011_15	The system of Nenkova and McKeown ( ) works in the opposite direction	DT NN IN NP CC NP ( ) VVZ IN DT JJ NN	BackGround	GRelated	Neutral
08-2011_16	Classifiers in the literature include ( )	NNS IN DT NN VVP ( )	BackGround	GRelated	Neutral
08-2011_16	For the discourse-new classification task, the model's most important feature is whether the head word of the NP to be classified has occurred previously (as in Ng and Cardie ( ) and Vieira and Poesio ( ))	IN DT JJ NN NN , DT NNS RBS JJ NN VBZ IN DT NN NN IN DT NP TO VB VVN VHZ VVN RB NNS IN NP CC NP ( ) CC NP CC NP ( NN	BackGround	SRelated	Neutral
08-2011_20	This model outperforms a variety of word overlap and semantic similarity models, and is used as a component in the state-of-the-art system of Soricut and Marcu ( )	DT NN VVZ DT NN IN NN VVP CC JJ NN NNS , CC VBZ VVN IN DT NN IN DT JJ NN IN NP CC NP ( )	BackGround	SRelated	Positive
08-2011_20	Both of these models are very different from the lexical and entity-based models currently used for this task ( ), and are probably capable of improving the state of the art	CC IN DT NNS VBP RB JJ IN DT JJ CC JJ NNS RB VVN IN DT NN ( ) , CC VBP RB JJ IN VVG DT NN IN DT NN	BackGround	MRelated	Positive
08-2011_21	Our first model distinguishes discourse-new from discourse-old noun phrases, using features based on Uryupina ( )	PP$ JJ NN VVZ NN IN JJ NN NNS , VVG NNS VVN IN NP ( )	Fundamental	Basis	Neutral
08-2012_0	The b 3 scorer ( ) was proposed to overcome several shortcomings of the MUC scorer	DT SYM CD NN ( ) VBD VVN TO VV JJ NNS IN DT NP NN	BackGround	SRelated	Positive
08-2012_1	Other work on global models of coreference (as opposed to pairwise models) has included: Luo et al.( ) who used a Bell tree whose leaves represent possible partitionings of the mentions into entities and then trained a model for searching the tree; Mc-Callum and Wellner ( ) who defined several conditional random field-based models; Ng ( ) who took a reranking approach; and Culotta et al.( ) who use a probabilistic first-order logic model	JJ NN IN JJ NNS IN NN NNS VVN TO JJ NN VHZ JJ NP NP NP ( ) WP VVD DT NP NN WP$ NNS VVP JJ NNS IN DT VVZ IN NNS CC RB VVN DT NN IN VVG DT JJ NP CC NP ( ) WP VVD JJ JJ JJ JJ NN NP ( ) WP VVD DT JJ NN CC NP NP NP ( ) WP VVP DT JJ NN NN NN	BackGround	GRelated	Neutral
08-2012_2	Much work that followed improved upon this strategy, by improving the features ( ), the type of classifier ( ), and changing mention links to be to the most likely antecedent rather than the most recent positively labeled antecedent ( )	JJ NN WDT VVD VVN IN DT NN , IN VVG DT NNS ( ) , DT NN IN NN ( ) , CC VVG NN VVZ TO VB TO DT RBS JJ NN RB IN DT RBS JJ RB VVN NN ( )	BackGround	GRelated	Positive
08-2012_2	More recently, Denis and Baldridge ( ) utilized an integer linear programming (ILP) solver to better combine the decisions made by these two complementary classifiers, by finding the globally optimal solution according to both classifiers	RBR RB , NP CC NP ( ) VVD DT NN JJ NN NN NN TO RBR VV DT NNS VVN IN DT CD JJ NNS , IN VVG DT RB JJ NN VVG TO DT NNS	BackGround	GRelated	Positive
08-2012_2	When describing our model, we build upon the notation used by Denis and Baldridge ( )	WRB VVG PP$ NN , PP VVP IN DT NN VVN IN NP CC NP ( )	Fundamental	Basis	Neutral
08-2012_2	Prior work ( ) has generated training data for pairwise classifiers in the following manner	JJ NN ( ) VHZ VVN NN NNS IN JJ NNS IN DT VVG NN	BackGround	GRelated	Neutral
08-2012_2	The coref-ilp model of Denis and Baldridge ( ) took a different approach at test time: for each mention they would work backwards and add a link for all previous mentions which the classifier deemed coreferent	DT NN NN IN NP CC NP ( ) VVD DT JJ NN IN NN NN IN DT NN PP MD VV RB CC VV DT NN IN DT JJ VVZ WDT DT NN VVN NN	BackGround	SRelated	Neutral
08-2012_3	4 We added named entity (NE) tags to the data using the tagger of Finkel et al.( )	LS PP VVD VVN NN NN NNS TO DT NNS VVG DT NN IN NP NP NP ( )	Fundamental	Basis	Neutral
08-2012_4	In addition to the MUC and b 3 scorers, we also evaluate using cluster f-measure ( ), which is the standard f-measure computed over true/false coreference decisions for pairs of mentions; the Rand index ( ), which is pairwise accuracy of the clustering; and variation of information ( ), which utilizes the entropy of the clusterings and their mutual information (and for which lower values are better)	IN NN TO DT NP CC LS CD NNS , PP RB VV VVG NN NN ( ) , WDT VBZ DT JJ NN VVN IN JJ NN NNS IN NNS IN NN DT NP NN ( ) , WDT VBZ JJ NN IN DT NN CC NN IN NN ( ) , WDT VVZ DT NN IN DT NNS CC PP$ JJ NN NN IN WDT JJR NNS VBP JJ	Fundamental	Basis	Neutral
08-2012_8	Ng and Cardie ( ) and Ng ( ) highlight the problem of determining whether or not common noun phrases are anaphoric	NP CC NP ( ) CC NP ( ) VV DT NN IN VVG IN CC RB JJ NN NNS VBP JJ	BackGround	GRelated	Neutral
08-2012_13	Much recent work on coreference resolution, which is the task of deciding which noun phrases, or mentions, in a document refer to the same real world entity, builds on Soon et al.( )	JJ JJ NN IN NN NN , WDT VBZ DT NN IN VVG WDT NN NNS , CC VVZ , IN DT NN VVP TO DT JJ JJ NN NN , VVZ IN RB CC JJ ( )	BackGround	GRelated	Neutral
